"id","tweet_list","location","retweet","hashtags","sentiment"
"alexbdavies","RT @TheoryStudioLLC: ????BIG NEWS!????

Today premieres our newest short-film for #SesameStreet!
➡  https://t.co/DyOY2hdEsF

Made with #Adobe #Af…","Toronto, Ontario, Canada","3","{'text': 'SesameStreet', 'indices': [76, 89]} {'text': 'Adobe', 'indices': [129, 135]}","neutral"
"MaryGinatzi","RT @SpaceHellas: @SpaceHellas Titanium #Dell Partner, introduces #PowerStore, a uniquely adaptable #infrastructure #platform that complemen…","Mika#my baby#my love","1","{'text': 'Dell', 'indices': [39, 44]} {'text': 'PowerStore', 'indices': [65, 76]} {'text': 'infrastructure', 'indices': [99, 114]} {'text': 'platform', 'indices': [115, 124]}","positive"
"Mckenzze","Look what I found on @eBay! https://t.co/Upm4ww9dMV via @eBay  #dell #laptop #i7 #delllaptop #gaming #nvidia #geforce","Manchester","0","{'text': 'dell', 'indices': [63, 68]} {'text': 'laptop', 'indices': [69, 76]} {'text': 'i7', 'indices': [77, 80]} {'text': 'delllaptop', 'indices': [81, 92]} {'text': 'gaming', 'indices': [93, 100]} {'text': 'nvidia', 'indices': [101, 108]} {'text': 'geforce', 'indices': [109, 117]}","neutral"
"bananacomputers","#Dell #Poweredge Tower #Servers With 5 Yrs NBD on Site Service. Learn more: https://t.co/xvubab68d7
#CAD #Storage… https://t.co/3LBFuVgc1C","British Isles ","0","{'text': 'Dell', 'indices': [0, 5]} {'text': 'Poweredge', 'indices': [6, 16]} {'text': 'Servers', 'indices': [23, 31]} {'text': 'CAD', 'indices': [100, 104]} {'text': 'Storage', 'indices': [105, 113]}","positive"
"Rodney_Walker","Quick Compare And Review: 2020 #Dell XPS 13 9300 Vs #HP Spectre X360 13 (OLED)— Two Of The Best Laptops On The Plan… https://t.co/Q99IIH7OpJ","Brooklyn, NY","0","{'text': 'Dell', 'indices': [31, 36]} {'text': 'HP', 'indices': [52, 55]}","positive"
"celesgar","RT @DealNews: Working from home or getting ready to head back to school virtually? You could use a $2K home office from #Dell. Enter our Au…","Texas","1","{'text': 'Dell', 'indices': [120, 125]}","positive"
"AAproLTD","Check out ✔️ ORIGINAL GENUINE DELL POWEREDGE BATTERY CABLE 0RF289 RD289 - UK SELLER #Dell https://t.co/wQ4KpqzJbR via @eBay","Hull, England","0","{'text': 'Dell', 'indices': [84, 89]}","positive"
"DigitimesDotCom","Global server shipments to contract 5.6% sequentially in 3Q20, says Digitimes Research #Amazon #Cloud #Dell #demand… https://t.co/c9lzbTX3GS","Taiwan","0","{'text': 'Amazon', 'indices': [87, 94]} {'text': 'Cloud', 'indices': [95, 101]} {'text': 'Dell', 'indices': [102, 107]} {'text': 'demand', 'indices': [108, 115]}","neutral"
"TechPlanetToday","The Best Windows Laptop. Dell XPS review
#laptop #dell #dellxps15 #xps15 #xps17 #bestwindowslaptop #review
 https://t.co/FCp3HoRdmN",,"0","{'text': 'laptop', 'indices': [41, 48]} {'text': 'dell', 'indices': [49, 54]} {'text': 'dellxps15', 'indices': [55, 65]} {'text': 'xps15', 'indices': [66, 72]} {'text': 'xps17', 'indices': [73, 79]} {'text': 'bestwindowslaptop', 'indices': [80, 98]} {'text': 'review', 'indices': [99, 106]}","positive"
"DM_newbie","Due to #Covid19 people have shifted to online buying. In this #pandemic situation, it is super easy to order from A… https://t.co/D64I2dESbI",,"0","{'text': 'Covid19', 'indices': [7, 15]} {'text': 'pandemic', 'indices': [62, 71]}","positive"
"evanderburg","What's all the buzz about hybrid cloud? #hybridcloud with @Kevin_Jackson ?https://t.co/Cd2gCEN5qz #storage #Dell","Cleveland, OH","0","{'text': 'hybridcloud', 'indices': [40, 52]} {'text': 'storage', 'indices': [98, 106]} {'text': 'Dell', 'indices': [107, 112]}","neutral"
"adrianhungate","Dell G425 350W power supply with lots of connectors! @eBay @eBay_UK #dell #oneonly #wigig #buyitnow #bargain

https://t.co/RLzKqmyC2s","Hertfordshire","0","{'text': 'dell', 'indices': [68, 73]} {'text': 'oneonly', 'indices': [74, 82]} {'text': 'wigig', 'indices': [83, 89]} {'text': 'buyitnow', 'indices': [90, 99]} {'text': 'bargain', 'indices': [100, 108]}","neutral"
"Harinko82","RT @apartpaintings: Cool designed bags for your laptop available at my Redbubbleshop. #apple #MacBook #redbubble #findyourthing #laptop #DE…","Germany","0","{'text': 'apple', 'indices': [86, 92]} {'text': 'MacBook', 'indices': [93, 101]} {'text': 'redbubble', 'indices': [102, 112]} {'text': 'findyourthing', 'indices': [113, 127]} {'text': 'laptop', 'indices': [128, 135]}","positive"
"RebuildVietnam","It's TIME for #Apple to get out of #China.

#TimCook, can you see it now?

#Starbucks #TicTok #Microsoft #Amazon… https://t.co/EvxuTmIXAO","Viet Nam","0","{'text': 'Apple', 'indices': [14, 20]} {'text': 'China', 'indices': [35, 41]} {'text': 'TimCook', 'indices': [44, 52]} {'text': 'Starbucks', 'indices': [75, 85]} {'text': 'TicTok', 'indices': [86, 93]} {'text': 'Microsoft', 'indices': [94, 104]} {'text': 'Amazon', 'indices': [105, 112]}","neutral"
"TeamBlind","#Dell Employee:

""I am struggling to find a name for my cousin's tech startup (IoT, ML, AR VR). Whichever name we d… https://t.co/3r50tm1X0K","San Francisco, CA","0","{'text': 'Dell', 'indices': [0, 5]}","neutral"
"AndrewJimenez_","RT @WarrenByle: New #Dell whitepaper on Direct WMI management of BIOS - no agent required.  https://t.co/IiyXCgN1pQ
#MEMCM #WMI #SCCM #InTu…","Arizona, USA","70","{'text': 'Dell', 'indices': [20, 25]} {'text': 'MEMCM', 'indices': [116, 122]} {'text': 'WMI', 'indices': [123, 127]} {'text': 'SCCM', 'indices': [128, 133]}","positive"
"VistaITGroup","Dell Precision 15.6 5540 Laptop – i7-9850H 16GB 512GB SSD, FHD, Quadro T1000 Only $1,595!  https://t.co/y4bkzGOtLo #Dell #Laptop","Grand Rapids, MI","0","{'text': 'Dell', 'indices': [115, 120]} {'text': 'Laptop', 'indices': [121, 128]}","neutral"
"TomekCEEMarket","Gartner: PC Shipments Rise Anew in Q2 - The quarter's results were much better than the coronavirus-affected first… https://t.co/PABihrAAIh","Poland","0",,"positive"
"pinncomp","The NEW Dell EMC VxRail D Series is a durable platform that delivers the full power of a VxRail system for workload… https://t.co/79eivFVIo4","Evansville, IN","0",,"positive"
"SpaceHellas","@SpaceHellas Titanium #Dell Partner, introduces #PowerStore, a uniquely adaptable #infrastructure #platform that co… https://t.co/SHmnZ7WVLR","Greece","1","{'text': 'Dell', 'indices': [22, 27]} {'text': 'PowerStore', 'indices': [48, 59]} {'text': 'infrastructure', 'indices': [82, 97]} {'text': 'platform', 'indices': [98, 107]}","positive"
"DealNews","Working from home or getting ready to head back to school virtually? You could use a $2K home office from #Dell. En… https://t.co/GMpbaGARfN","Cyberspace","1","{'text': 'Dell', 'indices': [106, 111]}","positive"
"HIGHBROTECH","Hp 9480 500gb hdd 4gbram core i5
Call or WhatsApp 08039477717 or send a dm @highbrotech 
#reliable #highbrotech… https://t.co/cHUYZfxieg","lagos","0","{'text': 'reliable', 'indices': [89, 98]} {'text': 'highbrotech', 'indices': [99, 111]}","neutral"
"cheryl_pereira","(9/12) If the engineer cancelled on Friday shouldn’t he first attend the pending services on Monday? @DellCaresPRO… https://t.co/LnrJevVuLu","Mumbai, India ","0",,"positive"
"cheryl_pereira","(3/12) Since then (i.e. 12 days), I have experienced all kinds of excuses and empathy from Dell support team but no… https://t.co/cZDvSbGqy1","Mumbai, India ","0",,"positive"
"NetwaysShop","RT @SMSEagleGateway: We're very happy to be a part of DELL Lego Factory project. #dell #lego 
https://t.co/g0Djh3Xkug https://t.co/7vhn6eY5…","Germany","3","{'text': 'dell', 'indices': [81, 86]} {'text': 'lego', 'indices': [87, 92]}","positive"
"LangLang21","RT @SMSEagleGateway: We're very happy to be a part of DELL Lego Factory project. #dell #lego 
https://t.co/g0Djh3Xkug https://t.co/7vhn6eY5…","Nürnberg","3","{'text': 'dell', 'indices': [81, 86]} {'text': 'lego', 'indices': [87, 92]}","positive"
"kidmystic","RT @WarrenByle: New #Dell whitepaper on Direct WMI management of BIOS - no agent required.  https://t.co/IiyXCgN1pQ
#MEMCM #WMI #SCCM #InTu…","Saint Paul, Minnesota","70","{'text': 'Dell', 'indices': [20, 25]} {'text': 'MEMCM', 'indices': [116, 122]} {'text': 'WMI', 'indices': [123, 127]} {'text': 'SCCM', 'indices': [128, 133]}","positive"
"deucehearts","RT @WarrenByle: New #Dell whitepaper on Direct WMI management of BIOS - no agent required.  https://t.co/IiyXCgN1pQ
#MEMCM #WMI #SCCM #InTu…","Chicago","70","{'text': 'Dell', 'indices': [20, 25]} {'text': 'MEMCM', 'indices': [116, 122]} {'text': 'WMI', 'indices': [123, 127]} {'text': 'SCCM', 'indices': [128, 133]}","positive"
"monkey_viral","#Dell XPS 15 Review: A Luxury Windows Laptop is now trending on https://t.co/61QDVB1vjH
https://t.co/61QDVB1vjH","Globe & Beyond","0","{'text': 'Dell', 'indices': [0, 5]}","neutral"
"SMSEagleGateway","We're very happy to be a part of DELL Lego Factory project. #dell #lego 
https://t.co/g0Djh3Xkug https://t.co/7vhn6eY578","Poznań, Wielkopolskie","3","{'text': 'dell', 'indices': [60, 65]} {'text': 'lego', 'indices': [66, 71]}","positive"
"MarkMetz5","RT @ReluTech: Article series introduction post by Josiah Deegan, our Director of Sales Operations here at #ReluTech ???? Read more to see what…","Peachtree Corners, GA","1","{'text': 'ReluTech', 'indices': [106, 115]}","positive"
"VodafoneVPC","Vodafone CEO Nick Read in tax fraud scheme using funds from #Huawei #Apple #Samsung

Leaks from Vodafone on youtube… https://t.co/xjhi9WfAcZ",,"0","{'text': 'Huawei', 'indices': [60, 67]} {'text': 'Apple', 'indices': [68, 74]} {'text': 'Samsung', 'indices': [75, 83]}","neutral"
"greenpctech_pt","Check the link below
https://t.co/6gWWIbhrRG

Dell Optiplex 9020 SFF 
Intel Core i7-4770 (3.40Ghz, 8MB, L3)
8 GB RA… https://t.co/ylu7lCzbAR","Lisboa, Portugal","0",,"neutral"
"PCPlanetNigeria","""Quit talking and begin doing"". Call: 08170000014 https://t.co/q9MWFXVPsC #pcplanetnigeria #phone #tablet… https://t.co/KIrsPuwVt7","Lagos, NG","0","{'text': 'pcplanetnigeria', 'indices': [74, 90]} {'text': 'phone', 'indices': [91, 97]} {'text': 'tablet', 'indices': [98, 105]}","neutral"
"tangenghui","#Technology Blog Post: New #Dell G Series products, designed for #gamers at every level, offering great value along… https://t.co/mQhVDOHSPA","Singapore","0","{'text': 'Technology', 'indices': [0, 11]} {'text': 'Dell', 'indices': [27, 32]} {'text': 'gamers', 'indices': [65, 72]}","positive"
"Techtoynews","New S2721DGF Dell Gaming Monitor with 27-inch IPS panel, 165 Hz Refresh rate, 1 ms Response time #Dell #Gaming… https://t.co/lrrj13rTfu",,"0","{'text': 'Dell', 'indices': [97, 102]} {'text': 'Gaming', 'indices': [103, 110]}","positive"
"UbuntuBot2075","RT @arnaudmez7: @Schykle @ubuntu @Dell 16 billion Threads ... you make everything you touch to turn pink and butterfly
Now because you wrot…",,"1",,"negative"
"livinsenan","@Dell Hi #dell, I made a purchase and the order is not confirmed and I am waiting for more than a day now. The onli… https://t.co/bEDbhZYtXQ",,"0","{'text': 'dell', 'indices': [9, 14]}","positive"
"VtorVenturaRam1","DELL Summer promotions em https://t.co/AwGzFNv8ko desde 1998 #DELL #portátil https://t.co/7cQMkoarTu","Oeiras, Portugal","0","{'text': 'DELL', 'indices': [61, 66]} {'text': 'portátil', 'indices': [67, 76]}","neutral"
"arnaudmez7","@Schykle @ubuntu @Dell 16 billion Threads ... you make everything you touch to turn pink and butterfly
Now because… https://t.co/qPmPIwWPvm","Pointe Noire - Rep of Congo","1",,"negative"
"Kingphil71","Graphics Users‼️‼️
Dell inspiron 4GB dedicated 8gb ram 1Tb hard drive 

#computerlove #Dell #Hp #Macbook… https://t.co/0lOsLc2S5W","Lagos state","0","{'text': 'computerlove', 'indices': [72, 85]} {'text': 'Dell', 'indices': [86, 91]} {'text': 'Hp', 'indices': [92, 95]} {'text': 'Macbook', 'indices': [96, 104]}","negative"
"PhoenixYork","We’re very pleased to announce that Phoenix have received the 2020 Dell Technologies Growth Partner of the Year awa… https://t.co/gSclIQKOF6","York","0",,"positive"
"divya_nigam","Ofcom this morning released a statement detailing their decision to release 500 MHz of 6 GHz band to Wi-Fi. UK beco… https://t.co/EPXnqs05qe","Bengaluru, India","0",,"neutral"
"eBayAU","You can save up to $1000 with 20% off at #Dell on eBay. From the Inspiration laptop to the Alienware curved gaming… https://t.co/6ssf2bapT8","Australia","0","{'text': 'Dell', 'indices': [41, 46]}","neutral"
"GlobalTechG","RT @GlobalTechG: HP OMEN X 2S: World's first Dual-Screen Laptop.
https://t.co/8pzmlPIkaa
#HP #HPomen #Omen #OmenX2S #X2S #gaming #gaminglap…",,"4","{'text': 'HP', 'indices': [89, 92]} {'text': 'HPomen', 'indices': [93, 100]} {'text': 'Omen', 'indices': [101, 106]} {'text': 'OmenX2S', 'indices': [107, 115]} {'text': 'X2S', 'indices': [116, 120]} {'text': 'gaming', 'indices': [121, 128]}","positive"
"GlobalTechG","RT @GlobalTechG: Razer Blade Stealth: Move with Power!!
https://t.co/omZjPr9pHq
#Razer #RazerBlade #Blade #BladeStealth #Stealth13 #stealth…",,"3","{'text': 'Razer', 'indices': [80, 86]} {'text': 'RazerBlade', 'indices': [87, 98]} {'text': 'Blade', 'indices': [99, 105]} {'text': 'BladeStealth', 'indices': [106, 119]} {'text': 'Stealth13', 'indices': [120, 130]} {'text': 'stealth', 'indices': [131, 139]}","neutral"
"GlobalTechG","RT @GlobalTechG: Checkout Best Laptop Brands in World:
(Share with Friends)
https://t.co/L4Z1TkWDlh
#Best #laptops #brands #list #dell #hp…",,"5","{'text': 'Best', 'indices': [100, 105]} {'text': 'laptops', 'indices': [106, 114]} {'text': 'brands', 'indices': [115, 122]} {'text': 'list', 'indices': [123, 128]} {'text': 'dell', 'indices': [129, 134]} {'text': 'hp', 'indices': [135, 138]}","positive"
"whynew5","Buy used/refurbished laptops in Bangalore, visit https://t.co/u2AhGwuBx7. 100% quality guaranteed, Contact us:???? +91… https://t.co/jAi0ttoPvX","Bengaluru, India","0",,"neutral"
"live_url","RT @KDefended: ""Can positive change happen to businesses after this pandemic? Computer maker Dell think it would be a ‘tragedy' to return t…","Vancouver, Canada","1",,"positive"
"chokfern","RT @tangenghui: New #Dell G Series products, designed for gamers at every level, offering great value along with upscale design and perform…","Singapore","1","{'text': 'Dell', 'indices': [20, 25]}","positive"
"openvalvefilms","Editing day. @AdobeVideo #editing #lg #dell https://t.co/5U9NkmHQdA","Los Angeles, CA","0","{'text': 'editing', 'indices': [25, 33]} {'text': 'lg', 'indices': [34, 37]} {'text': 'dell', 'indices': [38, 43]}","neutral"
"vismakaev","""The entry-level G5 15 hits the sweet spot between price and performance. You get what you pay for with the G5 gami… https://t.co/A9HmO7t3xO","Austin, TX","0",,"positive"
"laxmysree","@DeepaNarasimhan @MichaelDell @DellTechIndia Congratulations ! Wishing many more years of success with #Dell","India","0","{'text': 'Dell', 'indices': [103, 108]}","positive"
"IT_Creations","Is the #Dell #Precision T7920 #Workstation Tower the most powerful workstation in the world? You decide. Dual… https://t.co/BKH4waQoRG","Chatsworth, CA 91311","0","{'text': 'Dell', 'indices': [7, 12]} {'text': 'Precision', 'indices': [13, 23]} {'text': 'Workstation', 'indices': [30, 42]}","positive"
"treypowell765","#dell pro support is shit i was having problems with the alien ware command center Nd they had me uninstall it and… https://t.co/0jdLy1IjLZ",,"0","{'text': 'dell', 'indices': [0, 5]}","negative"
"IT_Creations","And then there's the #Dell #Precision #7920r #RackWorkstation! Dual scalable processors up to 3TB of memory eight u… https://t.co/sJWq0WaK1X","Chatsworth, CA 91311","1","{'text': 'Dell', 'indices': [21, 26]} {'text': 'Precision', 'indices': [27, 37]} {'text': '7920r', 'indices': [38, 44]} {'text': 'RackWorkstation', 'indices': [45, 61]}","neutral"
"Techjockeyhd","Check out my latest video on DELL XPS 15 UNBOXING/REVIEW. #tech #techreview #dell #delllaptop #dellxps15 @dell… https://t.co/em2KrJwMoz","Toronto, Ontario","0","{'text': 'tech', 'indices': [58, 63]} {'text': 'techreview', 'indices': [64, 75]} {'text': 'dell', 'indices': [76, 81]} {'text': 'delllaptop', 'indices': [82, 93]} {'text': 'dellxps15', 'indices': [94, 104]}","positive"
"StrategicalIT","A quick #TechBite on #Dell #PowerEdge server BIOS settings for high value workloads #iwork4dell… https://t.co/hIYhId4W66","Australia","0","{'text': 'TechBite', 'indices': [8, 17]} {'text': 'Dell', 'indices': [21, 26]} {'text': 'PowerEdge', 'indices': [27, 37]} {'text': 'iwork4dell', 'indices': [84, 95]}","positive"
"3drenderbot","RT @IT_Creations: Or How about this! Our review of #Dell’s #Precision #7820t #workstation tower! It’s a beauty with a double-decker dual CP…","The Web","1","{'text': 'Dell', 'indices': [51, 56]} {'text': 'Precision', 'indices': [59, 69]} {'text': '7820t', 'indices': [70, 76]} {'text': 'workstation', 'indices': [77, 89]}","neutral"
"IT_Creations","Or How about this! Our review of #Dell’s #Precision #7820t #workstation tower! It’s a beauty with a double-decker d… https://t.co/LHiwpe8rv1","Chatsworth, CA 91311","1","{'text': 'Dell', 'indices': [33, 38]} {'text': 'Precision', 'indices': [41, 51]} {'text': '7820t', 'indices': [52, 58]} {'text': 'workstation', 'indices': [59, 71]}","neutral"
"matbg","RT @WarrenByle: New #Dell whitepaper on Direct WMI management of BIOS - no agent required.  https://t.co/IiyXCgN1pQ
#MEMCM #WMI #SCCM #InTu…","Sweden","70","{'text': 'Dell', 'indices': [20, 25]} {'text': 'MEMCM', 'indices': [116, 122]} {'text': 'WMI', 'indices': [123, 127]} {'text': 'SCCM', 'indices': [128, 133]}","positive"
"darrenculbreath","ET Deals: $1,000 Off #Dell #2020 #Vostro157500Corei7 &amp; #Nvidia #GTXLaptop, #Google #Pixel4APre-Order,… https://t.co/AK0anArZOA","Washington D.C.","0","{'text': 'Dell', 'indices': [21, 26]} {'text': 'Vostro157500Corei7', 'indices': [33, 52]} {'text': 'Nvidia', 'indices': [59, 66]} {'text': 'GTXLaptop', 'indices': [67, 77]} {'text': 'Google', 'indices': [79, 86]} {'text': 'Pixel4APre', 'indices': [87, 98]}","neutral"
"ImGoutham","@Dell you have one of the worst customer service... Period! Customer service people have ended my chat before I com… https://t.co/f9uDu7vpz7","Hyderabad","0",,"negative"
"daeff_attack","Has anyone been able to recover data from a failed hard drive? If so, how? (The error code I got in F12 Diagnostics… https://t.co/gTRNdA9RhP",,"0",,"negative"
"IT_Creations","Checkout our review of #Dell’s #Precision #5820t #Workstation! It features a single socket with #Intel’s new #XeonW… https://t.co/9kSfBAwRaU","Chatsworth, CA 91311","0","{'text': 'Dell', 'indices': [23, 28]} {'text': 'Precision', 'indices': [31, 41]} {'text': '5820t', 'indices': [42, 48]} {'text': 'Workstation', 'indices': [49, 61]} {'text': 'Intel', 'indices': [96, 102]} {'text': 'XeonW', 'indices': [109, 115]}","positive"
"Sentient100","Laptop Computers! 114 to choose from! Different brands, but all have LAN 10/100 card. So check out these great deal… https://t.co/saUSP2yVYI",,"0",,"positive"
"Synergy_App","RT @CraigEmery67: #Dell XPS13 Win10, #Apple MacBookPro, #Caldigit TS3+ #Thunderbolt hub w/ LG 4K monitor @Synergy_App one keyboard #Logitec…",,"1","{'text': 'Dell', 'indices': [18, 23]} {'text': 'Apple', 'indices': [37, 43]} {'text': 'Caldigit', 'indices': [56, 65]} {'text': 'Thunderbolt', 'indices': [71, 83]}","neutral"
"affiliateprodu1","Laptop Computers! 114 to choose from! Different brands, but all have LAN 10/100 card. So check out these great deal… https://t.co/R5D4VJ5gx4",,"0",,"positive"
"nmangraviti","RT @AKopbayev: Really funny story. #Dell releases a monitor marked as USB-C compliant, the monitor violates USB-C specs. Dell refuses to ad…","Sydney, New South Wales","1","{'text': 'Dell', 'indices': [35, 40]}","positive"
"DanielleMWelch1","Concerned or just curious about the maturity of your tech development? Assess where your IT is versus where it need… https://t.co/wyekXKOtli","Washington, DC","1",,"negative"
"UTComputerStore","DON'T FORGET! DELL REBATE - GET $100 BACK!
A laptop is a commitment, so make it worthwhile with #Dell! Call us 512-… https://t.co/1yxgT3fz75","University of Texas at Austin","0","{'text': 'Dell', 'indices': [96, 101]}","positive"
"tangenghui","New #Dell G Series products, designed for gamers at every level, offering great value along with upscale design and… https://t.co/9QDlJVODdp","Singapore","1","{'text': 'Dell', 'indices': [4, 9]}","positive"
"AventisSystems","@Dell #Optiplex #desktops are always on our best sellers list! Check out our comparison between the 3050, 5050, and… https://t.co/R8Xg5K0Akp","Atlanta, GA","0","{'text': 'Optiplex', 'indices': [6, 15]} {'text': 'desktops', 'indices': [16, 25]}","positive"
"eric_kavanagh","@NickBrackney The best puns come out naturally! You don't consciously choose to use them; your brain just generates… https://t.co/r5hAmNGzfu","Austin, TX","0",,"positive"
"HotJamsDJ","All setup for the Smith wedding @ Luigi Villa #dj #weddingdj #weddingvendor #bassbossrocks #bassbossfamily #peavey… https://t.co/69e4cDOGgw","Pa","0","{'text': 'dj', 'indices': [46, 49]} {'text': 'weddingdj', 'indices': [50, 60]} {'text': 'weddingvendor', 'indices': [61, 75]} {'text': 'bassbossrocks', 'indices': [76, 90]} {'text': 'bassbossfamily', 'indices': [91, 106]} {'text': 'peavey', 'indices': [107, 114]}","neutral"
"ncbrady","RT @WarrenByle: New #Dell whitepaper on Direct WMI management of BIOS - no agent required.  https://t.co/IiyXCgN1pQ
#MEMCM #WMI #SCCM #InTu…","Sweden","70","{'text': 'Dell', 'indices': [20, 25]} {'text': 'MEMCM', 'indices': [116, 122]} {'text': 'WMI', 'indices': [123, 127]} {'text': 'SCCM', 'indices': [128, 133]}","positive"
"HotJamsDJ","All setup for the Schreiber wedding @ Fox township Firemen’s Club #weddingdj #dj #globaltruss #chauvet #onstage… https://t.co/XUf9ASvXvA","Pa","0","{'text': 'weddingdj', 'indices': [66, 76]} {'text': 'dj', 'indices': [77, 80]} {'text': 'globaltruss', 'indices': [81, 93]} {'text': 'chauvet', 'indices': [94, 102]} {'text': 'onstage', 'indices': [103, 111]}","neutral"
"bananacomputers","Have a fantastic week. ????
#CAD #Servers #Storage #Desktops #Rugged #Laptops #Tablets #XPS #Precisions #Rack… https://t.co/plg1cTjeqn","British Isles ","0","{'text': 'CAD', 'indices': [25, 29]} {'text': 'Servers', 'indices': [30, 38]} {'text': 'Storage', 'indices': [39, 47]} {'text': 'Desktops', 'indices': [48, 57]} {'text': 'Rugged', 'indices': [58, 65]} {'text': 'Laptops', 'indices': [66, 74]} {'text': 'Tablets', 'indices': [75, 83]} {'text': 'XPS', 'indices': [84, 88]} {'text': 'Precisions', 'indices': [89, 100]} {'text': 'Rack', 'indices': [101, 106]}","positive"
"CDWGWAGov","Choosing a Desktop Computer: Find the Right One for Your Needs #communication #communicate #business #businesstools… https://t.co/cSlGXeEJTR","Bellevue, WA","0","{'text': 'communication', 'indices': [63, 77]} {'text': 'communicate', 'indices': [78, 90]} {'text': 'business', 'indices': [91, 100]} {'text': 'businesstools', 'indices': [101, 115]}","positive"
"DM_newbie","Due to #Covid19 people have shifted to online buying. In this #pandemic situation, it is super easy to order from A… https://t.co/9lY1id2GsF",,"0","{'text': 'Covid19', 'indices': [7, 15]} {'text': 'pandemic', 'indices': [62, 71]}","positive"
"MarkusMichalski","RT @WarrenByle: New #Dell whitepaper on Direct WMI management of BIOS - no agent required.  https://t.co/IiyXCgN1pQ
#MEMCM #WMI #SCCM #InTu…","Gross-Gerau, Germany","70","{'text': 'Dell', 'indices': [20, 25]} {'text': 'MEMCM', 'indices': [116, 122]} {'text': 'WMI', 'indices': [123, 127]} {'text': 'SCCM', 'indices': [128, 133]}","positive"
"CXtec","How Much Could You Save on Your Network's Hardware Maintenance? Try our savings calulator.

https://t.co/gedXmDNx5n… https://t.co/Ok0jVBZLUG","Syracuse, NY","0",,"positive"
"TomekCEEMarket","The Dell Latitude 9510 Review: Premium Design, Beefy CPU And Long Battery Life #Dell #Latitute #Latitute9510… https://t.co/WXhVD7F3H2","Poland","0","{'text': 'Dell', 'indices': [79, 84]} {'text': 'Latitute', 'indices': [85, 94]} {'text': 'Latitute9510', 'indices': [95, 108]}","positive"
"engelbrechtbn","Think I just blew both @Dell hdmi ports, vga but hdmi does not pick up....help #dell #dellmonitors #monitors","Cape Town South Africa","0","{'text': 'dell', 'indices': [79, 84]} {'text': 'dellmonitors', 'indices': [85, 98]} {'text': 'monitors', 'indices': [99, 108]}","neutral"
"vmwarevsan","#HCI with #VMware and #Dell meets the exacting demands of the most mission-critical #healthcare applications. Learn… https://t.co/jbo4AGLYjA",,"0","{'text': 'HCI', 'indices': [0, 4]} {'text': 'VMware', 'indices': [10, 17]} {'text': 'Dell', 'indices': [22, 27]} {'text': 'healthcare', 'indices': [84, 95]}","positive"
"zapartha","Can a repaste bring a Dell G5 15 5590 back to life? Find out here https://t.co/fmOZkzcGJw

#Dell #DellGaming #Gaming","Kentucky, USA","0","{'text': 'Dell', 'indices': [91, 96]} {'text': 'DellGaming', 'indices': [97, 108]} {'text': 'Gaming', 'indices': [109, 116]}","neutral"
